,Type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,2,-0.477761759,-0.675473634,-0.625153072,-0.462407852,-0.600137871,-0.477222278,-0.440979099,-0.325622853,-0.245944096,-0.58749689,-0.492871921,-0.797521032,-0.80495401,-0.935765242,-0.768627326,-0.616175173,-0.332807888,0.560845803,1.003802198,-1.328320992,-1.465702576,-1.342543679,-1.204760203,-0.776206519,-0.558717886,-0.296585376,-0.419590591,-0.521203948,-0.558015711,-0.434331721,-0.441866418,-0.579712265,-0.674033761,-0.646559393,-0.741366457,-0.295058269,-0.519462563,-0.440184559,-0.375450623,-0.492613647,-0.318623527,-0.485511249,-0.81168658,-0.571984742,-0.230957269,-0.441485729,-0.412536517,-0.477607304,-0.841182518,-0.768608454,-0.942772089,-0.754947523,-1.008347118,-1.000660515,-0.732567346,-0.601921684
1,2,-0.655417077,-0.729087597,-0.523178979,-1.081236156,-2.169427677,-1.047746238,0.941971621,-1.082978279,-1.132223587,-1.113609137,-0.604054132,-0.461137532,-0.718474832,-0.779970256,-0.852643196,-0.743562548,-0.867421577,-0.740858777,-0.599134482,-0.458112448,-0.864645012,-1.162850761,-1.240881505,-0.113417783,0.606734605,-2.280293495,-1.501310306,-0.795736299,-0.515009644,-0.791781907,-0.609743602,-0.973756205,-0.847138015,-0.580791024,-0.643189492,-0.535648969,-0.974912425,-0.524977353,-0.577433012,-1.056900675,-1.199527637,-1.347048853,-1.122901487,-0.80918088,-1.376697444,-1.223057605,-1.190681295,-0.818907872,-0.435536082,-0.814819769,-0.796462211,-0.515749414,-0.654760851,-0.638142617,-1.008475339,-0.774015089
2,2,-0.755389018,-1.480765419,-1.931412755,0.009418214,-1.978231522,-0.554632031,-1.195737538,-1.026179701,-1.269332833,-0.532910926,-1.767396111,-0.529399579,-1.098571256,-2.12817481,-0.533471123,-1.19748384,-0.80553023,-2.505853218,0.120954906,-1.796205725,-0.835556162,-0.989147987,-1.107693148,-1.21753026,-0.723426871,-1.311956869,-1.226956762,-0.329821233,-2.505616319,-0.566197594,-1.263658372,-1.079308324,-0.846700135,-1.060907247,-0.880897921,-1.844268177,-1.488984632,-1.689236985,-1.620073853,-0.831727754,-1.081715691,-0.793473392,-1.259238111,-1.002614456,-0.964990216,-1.162190322,-1.055424897,-0.862269032,-1.022687261,-1.037716173,-1.936819257,-1.358412755,-1.866529315,-1.316556507,-0.90621815,-0.994761586
3,2,-2.717227364,-2.721261189,-2.257035515,-2.999761631,-2.610684591,-2.996180833,-3.585765937,-3.331050611,-3.564091663,-3.489256673,-3.156072042,-3.385258267,-3.487298724,-4.003045366,-3.977275085,-2.716499225,-2.356559646,1.009382135,-0.740210955,-3.334628711,-6.238360359,-5.981304884,-6.596698515,-4.567163321,-3.565944612,-1.972169805,-1.817590361,-3.513654313,-3.590895291,-3.385833306,-2.998868155,-3.719782182,-3.72095185,-3.519563603,-2.617019541,-2.56139443,-2.91795653,-2.738918491,-3.098362263,-2.972695868,-2.10059103,-2.436390848,-3.10441051,-2.690532656,-2.638714324,-1.970850487,-2.92287363,-2.922573148,-2.690610578,-3.127863032,-3.515858025,-3.283947929,-3.114582328,-3.114022035,-3.114629277,-3.115441934
4,2,-4.753835863,-4.490596976,-2.838786301,-6.960178147,-9.351477722,-4.750640696,0.322238438,-4.618254463,-5.424285593,-4.74743826,-4.75503256,-5.004546085,-4.335296809,-3.725529888,-3.69010681,-3.857526695,-3.598655138,-3.990587857,-4.731137131,-4.992756149,-4.627085124,-5.00872903,-5.662873642,-1.911359215,-0.755382446,-8.304859635,-8.592413596,-4.673954091,-2.964482671,-5.268527209,-4.421914616,-5.416436633,-3.918094799,-3.830703199,-4.353871609,-3.28770717,-4.113394932,-3.419322013,-3.754457504,-4.100002799,-4.771909278,-4.469802828,-4.365841647,-4.453007342,-4.307816121,-4.789420415,-4.353437637,-4.072750351,-3.279499534,-4.043594037,-3.521173268,-3.817062102,-4.293449649,-3.545359224,-4.844626481,-4.999939277
5,2,-5.603974491,-7.969223961,-9.486384753,-2.532719503,-8.23698497,-6.23604148,-6.19219273,-4.867470448,-5.817781715,-6.234820681,-7.978503955,-4.062224766,-6.503783908,-10.38905801,-4.542094957,-7.457200882,-5.417861042,-11.63229703,-2.274841313,-7.622680319,-6.567398099,-6.390576395,-5.050940369,-5.394807452,-6.36976872,-7.267642235,-6.010478175,-3.841538959,-11.73601059,-4.516854246,-7.706184274,-5.684291115,-5.694282354,-5.127145045,-5.323471912,-6.476811388,-6.194183853,-6.367446343,-6.26778983,-5.077752546,-5.400704758,-5.444907167,-6.479637914,-6.864067909,-6.269993712,-7.075236877,-5.716454479,-5.511716019,-5.109239574,-5.567568204,-6.583865592,-6.079756154,-6.521959684,-5.933681652,-5.015002961,-5.550345158
6,2,-0.340188272,-0.565028431,-0.280859086,-0.407179897,-0.301968524,-0.357938376,-0.415006136,-0.21123986,-0.282339728,-0.458437205,-0.500469729,-0.479326691,-0.648540815,-0.655453444,-0.295129684,-0.034390971,1.003083678,0.523890345,-0.44409099,-1.107710893,-0.973482587,-1.234582217,-0.613314065,-0.147792428,0.07096925,0.057660502,-0.182167827,-0.288446642,-0.358931647,-0.57065443,-0.528801695,-0.500697091,-0.424236142,-0.656892412,-0.231743991,-0.054466261,-0.167717507,-0.146329464,-0.196692022,-0.27504983,-0.211560293,-0.500767928,-0.528704057,-0.352144053,-0.316760227,-0.281275781,-0.217874201,-0.365712001,-0.606076961,-0.302517117,-0.347609417,-0.347837556,-0.347549772,-0.347273821,-0.347272171,-0.347523777
7,2,-0.729791274,-0.416449663,0.062531718,-0.266677287,-1.461314115,-1.472380844,0.729764456,0.357152162,-0.961912078,-0.724465429,-0.599388351,-0.371226851,-0.540809908,-0.469697743,-0.610606293,-0.565770464,-0.566729251,-0.473205957,-0.495209145,-0.402345276,-0.727683689,-0.815285462,-0.622265503,1.111993173,-0.489607118,-1.722019199,-0.917224187,0.124286443,-0.203311582,-0.593018201,-0.73833582,-0.74500587,-0.434344859,-0.11954877,-0.306801101,-0.421640229,-0.711959958,-0.414674256,-0.389640333,-0.675865804,-0.459144895,-0.504577745,-0.48301628,-0.491278697,-0.503715934,-0.457183609,-0.580614315,-0.579815296,-0.31266125,-0.601450723,-0.630491347,-0.297001526,-0.261073934,-0.141644858,-0.708916948,-0.703208608
8,2,-0.766172803,-0.182898411,-1.930986557,0.628205725,-1.255812577,-0.579872686,-0.80260799,-0.712925811,-0.894029827,-0.412509237,-1.433890485,0.486739073,-1.348522929,-0.881275845,-0.216518789,-1.290717067,0.221778673,-2.014216615,0.255332584,-0.737410226,-0.914573368,-0.623594023,-0.785272631,-0.872223941,-0.452032349,-1.273577823,-0.044879288,-0.532177352,-1.546348876,0.099240733,-1.317814311,-0.466253536,-0.421025166,-0.798588685,-0.657594072,-0.774925957,-0.672402114,-0.6868457,-0.778564295,-0.641440289,-0.821951649,-0.233268128,-0.837836062,-0.950362607,-0.611823028,-1.138249961,-0.347686276,-0.553569471,-0.765492935,-0.690669671,-0.750723685,-0.667352035,-0.716406295,-0.739429868,-0.702263103,-0.701091109
9,2,0.104341342,0.235777465,0.093159237,-0.104772307,0.028129744,0.253914364,0.138442529,0.143142589,0.082145159,-0.072211254,-0.022491969,0.043796198,-0.044164717,-0.374818121,-0.160064908,0.082741336,0.36878128,1.001657464,0.644107994,0.060537306,-0.606024462,-0.435659515,-0.501531155,0.005273814,0.247663602,0.357868147,0.115446044,0.230948922,0.259067408,0.132579419,0.038491989,-0.121317829,0.054546413,0.213542191,0.137090158,0.231374143,0.187905473,0.204291073,0.209800819,0.087898528,0.059938637,0.203205989,0.159568782,0.197697189,-0.083023909,0.055214259,0.148844719,0.033177,0.038461914,-0.121656892,-0.176432152,0.049432811,0.208824094,0.081342848,0.081265233,0.081676759
